Name,Gender,Period,Political Party,Position,Early Life,Education,Political Career,Family 
Oliver Goonetilleke,Male,14 October 1953 - 30 June 1954,United National Party,Minister of Finance,b'Oliver Ernest Goonetilleke was born 20 October 1892 in Trincomalee in the northeast of Ceylon. He was the fifth child  of eight and only son of Alfred Goonetilleke and Emily Jayasekera. His father who served in the Ceylon Postal Service was the postmaster of Trincomalee at the time of his birth.',"b'He was educated at Wesley College in Colombo where he won many prizes and scholarships including the Hill Medal and the Gogerly Scholarship. After completing his secondary education, Goonetilleke joined the teaching staff of Wesley College as an assistant teacher. He later earned a Bachelor of Arts degree from the University of London as an external student.'","b'With Ceylon gaining dominion status within the British Commonwealth, in 1947 the first cabinet of ministers was formed with Senanayake as Prime Minister after the 1947 general elections. Goonetilleke was appointed as the Minister of Home Affairs and Rural Development on 26 September 1947. He had been appointed to the newly formed upper house of parliament, the Senate of Ceylon and became the Leader of the Senate when both houses were ceremonially opened by the Duke of Gloucester, marking the independence of Ceylon on 4 February 1948. His term as a Cabinet Minister did not last long as he resigned as Minister and Senator on 22 July 1948, and was succeeded by Edwin Wijeyeratne.'","b'Oliver Goonetilleke first married Esther (nee Jayawardena), sister of Brigadier Christopher Allan Hector Perera Jayawardena. They had three children, Joyce Wijesinghe, Shiela Sathananthan and Ernie Goonetilleke. Esther Goonetilleke died of a fatal illness when the three children were very young and before Goonetilleke entered the civil service. During his self-imposed exile in London, Goonetilleke married Phyllis Miller, who was the secretary of the Soulbury Commission, whom he had befriended during the period of the Commission circa 1944, and lived near Marble Arch at 14, Albion Gate, Hyde Park Place, London W2 prior to his death in 1978.'"
M. D. H. Jayawardena,Male,1 July 1954 - 18 February 1956,United National Party,Minister of Finance,"b'Born to M.D.S Jayawardena Ralahami, he was educated at Trinity College, Kandy and at the Ceylon University College, where he graduated with a degree in economics. In 1938, he entered Ceylon Law College becoming an advocate. Traveling to the United Kingdom, he qualified as a Barrister and returned to Ceylon in 1946 and starting his legal practice.'",b'',"b'Joining the United National Party in 1947, he was elected to parliament from the Horana electorate in the 1952 parliamentary election and was appointed parliamentary secretary to the Minister of Finance, serving from October 1953 to  July 1954. When the Minister of Finance, Sir Oliver Goonetilleke was appointed Governor General, Jayawardena was succeeded him as Minister of Finance, serving from July 1954 to February 1956. He contested the 1956 parliamentary election from Horana, but lost to Sagara Palansuriya. In 1958, he was appointed general secretary of the United National Party, serving till 1972. He contested the Kottawa electorate in the July 1960 parliamentary election, but lost to Robert Gunawardena. He again contested from Kottawa in the 1965 parliamentary election and won defeating Robert Gunawardena and was appointed Minister of Health. During his tenure the Emergency Care Unit of the Colombo General Hospital was built. He served until 1968, when he was appointed Minister of Housing and Scientific Research and served till 1970. He lost his parliamentary seat 1970 parliamentary election to Chandra Gunasekera. He was re-elected in the 1977 parliamentary election and was appointed Minister of Plantation Industries serving till 1979.'",b'He married the daughter of Benthota Hendrique Karunarathne in 1942 and they had three children.'
Stanley de Zoysa,Male,12 April 1956 - 22 November 1959,Sri Lanka Freedom Party,Minister of Finance,b'',b'',b'',b''
M. M. Mustapha,Male,22 November 1959 - 5 December 1959,Sri Lanka Freedom Party,Minister of Finance,b'',b'',b'',b''
Oliver Goonetilleke,Male,21 March 1960 - 23 April 1960,United National Party,Minister of Finance,b'Oliver Ernest Goonetilleke was born 20 October 1892 in Trincomalee in the northeast of Ceylon. He was the fifth child  of eight and only son of Alfred Goonetilleke and Emily Jayasekera. His father who served in the Ceylon Postal Service was the postmaster of Trincomalee at the time of his birth.',"b'He was educated at Wesley College in Colombo where he won many prizes and scholarships including the Hill Medal and the Gogerly Scholarship. After completing his secondary education, Goonetilleke joined the teaching staff of Wesley College as an assistant teacher. He later earned a Bachelor of Arts degree from the University of London as an external student.'","b'With Ceylon gaining dominion status within the British Commonwealth, in 1947 the first cabinet of ministers was formed with Senanayake as Prime Minister after the 1947 general elections. Goonetilleke was appointed as the Minister of Home Affairs and Rural Development on 26 September 1947. He had been appointed to the newly formed upper house of parliament, the Senate of Ceylon and became the Leader of the Senate when both houses were ceremonially opened by the Duke of Gloucester, marking the independence of Ceylon on 4 February 1948. His term as a Cabinet Minister did not last long as he resigned as Minister and Senator on 22 July 1948, and was succeeded by Edwin Wijeyeratne.'","b'Oliver Goonetilleke first married Esther (nee Jayawardena), sister of Brigadier Christopher Allan Hector Perera Jayawardena. They had three children, Joyce Wijesinghe, Shiela Sathananthan and Ernie Goonetilleke. Esther Goonetilleke died of a fatal illness when the three children were very young and before Goonetilleke entered the civil service. During his self-imposed exile in London, Goonetilleke married Phyllis Miller, who was the secretary of the Soulbury Commission, whom he had befriended during the period of the Commission circa 1944, and lived near Marble Arch at 14, Albion Gate, Hyde Park Place, London W2 prior to his death in 1978.'"
J. R. Jayewardene,Male,24 April 1960 - 20 July 1960,United National Party |,Minister of Finance,"b'Born to a prominent Ceylonese family with a strong association with the legal profession, Jayewardene was the eldest of twelve children, of Hon. Justice Eugene Wilfred Jayewardene KC, a prominent lawyer and Agnes Helen Don Philip Wijewardena daughter of Tudugalage Muhandiram Don Philip Wijewardena a wealthy merchant. He was known as Dickie within his family. His younger brothers included Hector Wilfred Jayewardene, QC and Rolly Jayewardene, FRCP. His uncles were the Colonel Theodore Jayewardene, Justice Valentine Jayewardene and the Press Baron D. R. Wijewardena.'","b'Jayewardene gained admission to Royal College, Colombo for his secondary education. There he excelled in sports, played for the college cricket team, debuting in the Royal-Thomian series in 1925; captained the rugby team in 1924 at the annual ""Royal-Trinity Encounter"" (which later became known as the Bradby Shield Encounter); he was the vice captain of the football team in 1924; and was a member of the boxing team winning sports colours. He was a Senior Cadet; Captain, Debating Team; Editor, College Magazine; first Secretary in Royal College Social Services League in 1921 and he became the head prefect in 1925. In later life, he served as President, Board of Control for Cricket in Sri Lanka; President, Sinhalese Sports Club; and Secretary, Royal College Union.'",b'Jayewardene was attracted to national politics in his student years and developed strong nationalist views. He converted from Anglicanism to Buddhism and adopted the national dress as his formal attire.',"b'On 28 February 1935, Jayewardene married the heiress Miss Elina Bandara Rupasinghe, only daughter of Nancy Margaret Suriyabandara and Gilbert Leonard Rupasinghe, a notary public turned successful businessmen. Their only child Ravindra ""Ravi"" Vimal Jayewardene was born the year after.  Having originally settled at Jayewardene\'s parents house Vaijantha, the Jayewardene\'s moved to their own house Braemar in 1938, where they remained the rest of their lives, when not holidaying at their holiday home in Mirissa.'"
Felix Dias Bandaranaike,Male,21 July 1960 - 24 August 1962,Sri Lanka Freedom Party,Minister of Finance,"b'Born on 5 November 1930 to Felix Reginald Dias Bandaranaike II, Judge of the Supreme Court and Freda Dias Abeysinghe, he had a sister Christine Manel Dias Bandaranaike and a half brother of Prof. Michael Dias Bandaranaike who held the Chair of Jurisprudence at the University of Cambridge, he was also a nephew of S. W. R. D. Bandaranaike. He was an outstanding scholar at Royal College, Colombo, at the University of Ceylon and at the Colombo Law College, carrying away most of the prestigious prizes. Taking oaths as an Advocate, Felix Dias started his practice as in civil law.'",b'',"b""Following the assassination of S. W. R. D. Bandaranaike, Felix Dias entered politics to help his uncle's party. He was elected to parliament from the electorate of Dompe in the 1960 March general election and again in the 1960 July general election from the Sri Lanka Freedom Party (SLFP). With formation of the SLFP lead government of Bandaranaike's widow Sirima Bandaranaike as Prime Minister. Felix Dias was appointed to the Cabinet as Minister of Finance, becoming the youngest Cabinet Minister of Finance in the Commonwealth, at the age of 29. He was concurrently appointed Parliamentary Secretary for Defence and External Affairs. In the early years Sirima Bandaranaike began to relay heavily on Felix Dias making him a powerful figure behind the Bandaranaike government. He influenced the governments actions in subduing the Satyagraha campaign in Jaffna in the 1961 and personally lead the crackdown and investigation into the 1962 military coup, rounding up the coup leaders and even personally interrogating them. He took many drastic steps to bring to leaders to bar, when the current law of the country was found inadequate to try the leaders he had the new Criminal Law Special Provision Act of 1962 drafted and passed by parliament. Due to problems in implementing rice subsidies he resigned from the post of minister. He retained his seat in the 1965 general election, but the SLFP was defeated and found its self in the opposition. While in opposition he established a private farm.""",b'Felix Dias Bandaranaike married Elizabeth Muthulakshmi Jayasundera (known as Lakshmie Dias Bandaranaike) in 1953. She is a graduate of the University of Ceylon and Ceylon Law College and later became a member of the Inner Temple. They had a daughter named Christine. The family lived in the historic Maha Nuge Gardens in Colombo and he had his country seat at Weke Walawwa in Kirindawela.'
C. P. de Silva,Male,28 August 1962 - 8 November 1962,Sri Lanka Freedom Party,Minister of Finance,"b""Born Randombe in Balapitiya to C. R. de Silva, a proctor with a civil practice in Balapitiya and Galle; and Obinamuni Adlin de Silva. He had three brothers and two sisters. His brother A. H. de Silva took over their father's practice and was elected to parliament along with his other brother Merril de Silva, his sister Gladys married R. T. de Silva and the other sister Stella became a pediatrician. His brother Dr L. B. de Silva was a researcher attached to the Medical Research Institute. He was a cousin of Colvin R. de Silva.""","b""He was educated at Dharmasoka College, Ambalangoda and St Thomas' College, Mt. Lavinia, where he won the Gregory Scholarship, the Miller Award and became head boy. Thereafter he attend the Ceylon University College where he gained a BSc in Mathematics (first Class)in 1933. He thereafter attended University of London for postgraduate studies.""","b'C. P. de Silva was brought into active politics by Herbert Sri Nissanka, who was the secretary of the Sri Lanka Freedom Party. He contested in the general elections in 1952 and was elected to parliament from Polonnaruwa from the Sri Lanka Freedom Party defeating the incumbent P. L. Bauddhasara.'",b''
P. B. G. Kalugalla,Male,9 November 1962 - 10 May 1963,Sri Lanka Freedom Party,Minister of Finance,b'',b'',b'',b''
T. B. Ilangaratne,Male,29 May 1963 - 10 June 1964,Sri Lanka Freedom Party,Minister of Finance,b'',b'',"b""In 1947, Ilangaratne left his post in the General Clerical Service and contested the Kandy electorate in the 1947 general election as a socialist candidate, but lost to George E. de Silva of the United National Party. The following year he contested the by-election in the Kandy electorate as an independent socialist candidate defeating Fredrick de Silva, he entered the House of Representatives of Ceylon and was sworn in on May 18, 1948. Joining S. W. R. D. Bandaranaike in his newly formed Sri Lanka Freedom Party, Ilangaratne contested the 1956 general election from Galaha and re-entered to the House of Representatives in the landslide victory the Sri Lanka Freedom Party gained defeating Theodore Braybrooke Panabokke. Prime Minister Bandaranaike appointed him to his cabinet as the Minister of Labour, Housing and Social Services. He established the Employees' Provident Fund for the benefit of employees in the private sector and had the Labour day declared. Following the Bandaranaike assassination, Ilangaratne was appointed Minister of Home Affairs by the new Prime Minister W. Dahanayake, serving from September 1959 to December 1959 when he was removed from the cabinet by Dahanayake. He contested and was elected in the general elections of March 1960 and July 1960 from Hewaheta. He was appointed Minister of Commerce, Trade, Food and Shipping by Bandaranaike widow Sirima Bandaranaike who became Prime Minister having lead the Sri Lanka Freedom Party in the July election. In his tenor he established the People's Bank, the Ceylon Petroleum Corporation, the government nationalized private insurance companies and formed the Sri Lanka Insurance Corporation and nationalized the Bank of Ceylon.""","b""Ilangaratne was born on 27 February 1913 in Tumpane, Hataraliyadda, Waligodapola, Ceylon as the fourth child in a family with seven siblings. The family name of the father was 'Navaratne Rajakaruna Wasala Tikiri Mudiyanselage'. According to the surname of the mother party 'Ilangandavunda Mudiyanselage', he used the name 'Ilangaratne' and the full family name of the father party. His father was a well-known general practitioner of traditional ophthalmology. He began attending school in 1917 at Galagedera Vidyalaya  and received his secondary education from St. Anthony's College, Kandy. Ilangaratne wrote three plays while in school (Akikaru Putha, Himin Himin and Anda Nanda)."""
Ronnie de Mel,Male,23 July 1977 - 18 January 1988,United National Party,Minister of Finance,"b""Born to Rodget de Mel and Gladys Mendis, he studied at the St Thomas' College, Mt. Lavinia and graduated from the University of Ceylon with a BA degree having majored in English, Latin, Greek and History.""",b'',"b'Resigning from Ceylon Administrative Service in 1964, he entered politics and contested the 1965 general election from the Sri Lanka Freedom Party in the Bibile electorate and was defeated by the United National Party candidate Dharmadasa Banda. He then contested the 1970 general election from the Sri Lanka Freedom Party from Devinuwara and was elected to parliament. He was re-elected in the 1977 general election from Devinuwara from the United National Party and was appointed Cabinet Minister of Finance.'","b'He married Mallika Lakshmi de Mel nee Fernando, daughter of Sir Leo Fernando.'"
M. H. M. Naina Marikar,Male,18 January 1988 - 3 January 1989,United National Party,Minister of Finance,b'',b'',b'',b''
Dingiri Banda Wijetunga,Male,18 February 1989 - 31 August 1994,United National Party,Minister of Finance,"b""Wijetunga was born on 15 February 1916 to Wijethunga Mudiyanselage Delgahapitiya Arachchila and his wife Manamperi Mudiyanselage Palingumanike Manamperi, as the eldest in a middle class Sinhala Buddhist family living on the outskirts of the then Udunuwara parliamentary seat in the Kandy District of the Central Province in Sri Lanka. He completed his primary education at Waligalla Central College thereafter moved on to St Andrew's College in Gampola.""",b'',b'He closely associated with veteran politicians like George E. de Silva and A. Ratnayaka. A. Ratnayake who was then Minister of Food and Co-operatives in the D.S. Senanayake Cabinet took him as his Private Secretary.',b''
Chandrika Kumaratunga,Female,30 September 1994 - 5 December 2001,Sri Lanka Freedom Party,Minister of Finance,"b'Chandrika Bandaranaike was born on June 29, 1945, at Wentworth in Guidford Crescent, Colombo to Solomon West Ridgeway Dias Bandaranaike and Sirima Ratwatte Dias Bandaranaike.[citation needed] The family moved the year later to a mansion at Rosmead Place, Colombo purchased by her paternal grandfather.'","b""Chandrika was educated at the St Bridget's Convent, Colombo, and enrolled at the Roman Catholic Aquinas University College, Colombo to study for a law degree. However, in 1967, she left Aquinas without completing her law studies to France on a scholarship from the Institute of French Studies. There she spent one year at the Institut d'etudes politiques d'Aix-en-Provence following a course in the French language and culture. In 1968, she went on to study at the Institut d'Etudes Politiques de Paris (Sciences Po) graduating with a diploma in political science in 1970, thereafter enrolling in a PhD program in development economics, at the Ecole Pratique des Hautes Etudes, Paris, where she studied from 1970 to 1973 She is fluent in Sinhala, English and French.""","b""She returned to Ceylon in 1972, where her mother had become prime minister for a second time in 1970 and launched a wide-ranging programme of socialist reform and faced a violent communist insurrection in 1971. After returning she enrolled in and became active in the SLFP which had been founded by her father and now led by her mother. In 1974, she became an executive committee member of its Women's League.""","b'Chandrika married movie star and politician Vijaya Kumaratunga in 1978, who was assassinated on 16 February 1988, outside his residence in the presence of Chandrika and their two children, then aged five and seven.'"
Sarath Amunugama,Male,14 April 2004 – 22 November 2005,Sri Lanka Freedom Party,Minister of Finance,b'',b'',b'',b''
Mahinda Rajapaksa,Male,23 November 2005 – 9 January 2015,Sri Lanka Freedom Party,Minister of Finance,"b""Rajapaksa spent his formative years at the family home in Medamulana. At the age of six, he was sent to his father's school Richmond College in Galle. Initially he and his elder brother were boarded with a family in Galle, later their mother rented a house in Galle called the 'Singapore House' and moved there to facilitate the education of the growing family. In the mid-fifties the Rajapaksa family moved to Colombo and Mahinda Rajapaksa was admitted to Nalanda College, Colombo. Later in 1957 he transferred to Thurstan College, where he took part in sports such as cricket, rugger and athletics, taking part in the 400m relay team and becoming the putt shot champion.""",b'',"b""In the mid-sixties he started work as a library assistant at the Vidyodaya Pirivena and soon became active in leftwing politics. He became a member of the Ceylon Mercantile Union and was elected it's branch secretary in 1967. His father who had lost his parliamentary seat the 1965 general elections, died in November 1967. The Sri Lanka Freedom Party (SLFP) party leader Sirima Bandaranaike offered the his father's post of SLFP party organiser for the Beliatta electorate to his older brother Chamal. Chamal who had joined the Ceylon Police Force as a Sub-inspector, turndown Mrs Bandaranaike's offer in favour of his younger brother and Mahinda Rajapaksa was appointed as SLFP organiser for Beliatta in 1968.""","b'In 1983, Rajapaksa married Shiranthi Wickremesinghe, a child psychologist and educator. Shiranthi Rajapaksa is the daughter of E. P. Wickremesinghe, a retired commodore of the Sri Lanka Navy.'"
Ravi Karunanayake,Male,12 January 2015 - 22 May 2017,United National Party,Minister of Finance,"b'Ravindra Sandresh Karunanayake was born on 19 February 1963, the son of Tissa Anuruddha Mahanama Karunanayake and Carmaleka ""Carmi"" nee Dissanayake, daughter of former Deputy Inspector General of Police Cyril Dissanayake. He is the eldest of two sons. His father was a planter, who died when he was 12 years old. Following the death of her husband, Carmi Karunanayake, gained employment at the Presidential Secretariat, served as head of housekeeping of the President\'s House, Colombo.'",b'',"b""Between 1988 and 1989, Karunanayake worked with Lalith Athulathmudali, a distant relative; in Athulathmudali's election campaign for his parliamentary seat in the Colombo District for the 1989 general elections. Athulathmudali left the United National Party and formed the Democratic United National Front, which was led by his wife Srimani Athulathmudali after his assassination in April 1993. Srimani along with the 'DUNF-Lalith Front' joined the People's Alliance under Chandrika Kumaratunga at the 1994 general elections.""","b'Karunanayake is married to Mela and has three daughters Onella, Shenella and Minella.[citation needed]'"
Mangala Samaraweera,Male,22 May 2017 - 17 November 2019,United National Party,Minister of Finance,"b""Mangala Samaraweera was born on 21 April 1956 in Matara, Sri Lanka, the son of Mahanama Samaraweera and Khema Padmawathi Samaraweera nee Amaraweera, his father was a cabinet Minister of Local Government, Housing, Communications, Posts and Telecommunications in Sirimavo Bandaranaike's government and his mother served as a member of the Matara Urban Council. Educated at Royal College, Colombo and at Waltham Forest College, London, he gained a BA in Clothing Design and Technology from St. Martin's School of Art in London, he served as a design consultant to the National Design Center of Sri Lanka and served as a visiting lecturer in the Institute of Aesthetic Studies, University of Kelaniya. It was veteran textile designer Chandra Thneuwera who invited him to join her at the Institute of Aesthetic Studies while he was working as a consultant for the Ministry of Textile Industries under the guidance of Wijayapala Mendis.""",b'',"b""Samaraweera entered politics from the Sri Lanka Freedom Party as its chief organiser in Matara in 1983. He was introduced as Khema's boy when he was appointed as SLFP's chief organiser. He later became the SLFP party's Assistant Secretary and Coordinating Secretary of the Mothers Front. He also served as human rights campaigner in 1980s during when Ranasinghe Premadasa was the President of Sri Lanka.""","b'He was openly homosexual. In November 2018, after homophobic comments made by President Maithripala Sirisena, he wrote on Twitter that I would rather be a butterfly than a leech Mr. President!!! In May 2021, he featured in a YouTube video titled Light Upali where he played the role of a warrior defending social media platform TikTok.'"
Mahinda Rajapaksa,Male,22 November 2019 - 8 July 2021,Sri Lanka Podujana Peramuna,Minister of Finance,"b""Rajapaksa spent his formative years at the family home in Medamulana. At the age of six, he was sent to his father's school Richmond College in Galle. Initially he and his elder brother were boarded with a family in Galle, later their mother rented a house in Galle called the 'Singapore House' and moved there to facilitate the education of the growing family. In the mid-fifties the Rajapaksa family moved to Colombo and Mahinda Rajapaksa was admitted to Nalanda College, Colombo. Later in 1957 he transferred to Thurstan College, where he took part in sports such as cricket, rugger and athletics, taking part in the 400m relay team and becoming the putt shot champion.""",b'',"b""In the mid-sixties he started work as a library assistant at the Vidyodaya Pirivena and soon became active in leftwing politics. He became a member of the Ceylon Mercantile Union and was elected it's branch secretary in 1967. His father who had lost his parliamentary seat the 1965 general elections, died in November 1967. The Sri Lanka Freedom Party (SLFP) party leader Sirima Bandaranaike offered the his father's post of SLFP party organiser for the Beliatta electorate to his older brother Chamal. Chamal who had joined the Ceylon Police Force as a Sub-inspector, turndown Mrs Bandaranaike's offer in favour of his younger brother and Mahinda Rajapaksa was appointed as SLFP organiser for Beliatta in 1968.""","b'In 1983, Rajapaksa married Shiranthi Wickremesinghe, a child psychologist and educator. Shiranthi Rajapaksa is the daughter of E. P. Wickremesinghe, a retired commodore of the Sri Lanka Navy.'"
Basil Rajapaksa,Male,8 July 2021 - Present,Sri Lanka Podujana Peramuna,Minister of Finance,b'',b'',"b'At the 1977 General Elections, he contested Mulkirigala Electorate from the Sri Lanka Freedom Party but was defeated. He was the youngest SLFP candidate that contested in this election. In the 1977 election only 8 members managed to win from the SLFP.  Basil Rajapaksa later worked with the first executive President J.R. Jayewardene and joined the United National Party,   He made this decision to join the UNP due to some infighting within the Sri Lanka Freedom Party. Although he was with JR Jayawardana, he openly supported his brother Mahinda Rajapakasa. While he was in UNP he became very close to minister Gamini Dissanayake. When SLFP and coalition parties won the 1994 he actively assisted Minister Mahinda Rajapaksa. In 1997 his wife won the US green card lottery and migrated to USA with his family. He frequently visited Sri Lanka specially when ever there were elections.'","b'He is married to Pushpa Rajapaksa and has three children namely, Thejani, Bimalka and Asanka.'"
V. A. Sugathadasa,Male,1966 - 1970,United National Party,Minister of Sports,"b""Born to a wealthy business family, he had two siblings. He was educated at St. Benedict's College, Colombo and Ananda College.""",b'',"b'Sugathadasa entered politics having been elected to the Colombo Municipal Council as a municipal councillor from the Kochchikade ward as an independent candidate. He later joined the United National Party and was elected Deputy Mayor in 1949. On 6 March 1956 he was elected Mayor of Colombo, defeating Dr N. M. Perera. He held the post till 1 December 1957. He was again elected as Mayor of Colombo on 12 January 1960 and served till 10 January 1963.'",b''
Kiri Banda Ratnayake,Male,1972 - 1977,Sri Lanka Freedom Party,Minister of Sports,b'',b'',b'',b''
Vincent Perera,Male,1977 - 1988,United National Party,Minister of Sports,b'',b'',b'',b''
Nanda Mathew,Male,1989 - 1993,United National Party,Minister of Sports,"b""Born on 2 February 1940, to Sinhala Nationalist Cyril Mathew, he was educated at the S. Thomas' College, Gurutalawa and S. Thomas' College, Mount Lavinia. He became a land owner and a planter.""",b'',"b'He was elected to the House of Representatives of Ceylon in the 1965 general elections from Kolonna from the United National Party. He contested the 1970 general elections but was defeated by P.O. Wimalanaga. He elected from Kolonna in the 1977 general elections and was appointed Deputy Minister of Naval Services and Tourism, Rural Industry Development and Mahaweli Development by President J. R. Jayewardene. He was elected in the 1989 general elections from Ratnapura and was appointed Minister of Youth Affairs and Sports by President Ranasingha Premadasa. In 1994, he was given additional portfolios of Special Duties and Naval and Naval Development. He served as Governor of Uva Province from 2003 to 2015 having been appointed by President Chandrika Kumaratunga and President Mahinda Rajapaksa from the Sri Lanka Freedom Party.'","b'He married Indira Kulathilake daughter of Semage Salman Kulatileke. They had one daughter, Nanditha Mathew.'"
S. B. Dissanayake,Male,1994 - 2001,Sri Lanka Freedom Party,Minister of Sports,b'',b'',"b""In the 1977 General Elections  Dissanayake contested the Hanguranketha Electorate from the Communist Party but was defeated.\nDissanayaka contested for the parliamentary election in 1994 under the People's Alliance from the Nuwara Eliya district and was elected to parliament with 38372 votes.  He served as the Cabinet Minister of Samurdhi affairs, Youth Affairs and Sports under President Chandrika Kumaratunga. In 2001, Dissanayaka and other eight ministers from the PA government crossed over to the United National Party which was a crucial factor in the downfall of the incumbent PA government.In 2002 he was assigned as the Cabinet Minister of Samurdhi and Agriculture in the UNP government under prime minister Ranil Wickramasinghe in addition to being elevated to National Organiser of the party.\nIn December 2009, Dissanayaka crossed over again, to the SLFP.Dissanayake lost his cabinet position after Rajapaksha was defeated at the 2015 presidential election in Sri Lanka. His controversial statement about former president Chandrika Kumaratunge was criticized by many in the run up to the polls in 2015.""",b''
Mangala Samaraweera,Male,2001,Sri Lanka Freedom Party,Minister of Sports,"b""Mangala Samaraweera was born on 21 April 1956 in Matara, Sri Lanka, the son of Mahanama Samaraweera and Khema Padmawathi Samaraweera nee Amaraweera, his father was a cabinet Minister of Local Government, Housing, Communications, Posts and Telecommunications in Sirimavo Bandaranaike's government and his mother served as a member of the Matara Urban Council. Educated at Royal College, Colombo and at Waltham Forest College, London, he gained a BA in Clothing Design and Technology from St. Martin's School of Art in London, he served as a design consultant to the National Design Center of Sri Lanka and served as a visiting lecturer in the Institute of Aesthetic Studies, University of Kelaniya. It was veteran textile designer Chandra Thneuwera who invited him to join her at the Institute of Aesthetic Studies while he was working as a consultant for the Ministry of Textile Industries under the guidance of Wijayapala Mendis.""",b'',"b""Samaraweera entered politics from the Sri Lanka Freedom Party as its chief organiser in Matara in 1983. He was introduced as Khema's boy when he was appointed as SLFP's chief organiser. He later became the SLFP party's Assistant Secretary and Coordinating Secretary of the Mothers Front. He also served as human rights campaigner in 1980s during when Ranasinghe Premadasa was the President of Sri Lanka.""","b'He was openly homosexual. In November 2018, after homophobic comments made by President Maithripala Sirisena, he wrote on Twitter that I would rather be a butterfly than a leech Mr. President!!! In May 2021, he featured in a YouTube video titled Light Upali where he played the role of a warrior defending social media platform TikTok.'"
Lakshman Kiriella,Male,2001 - 2002,United National Party,Minister of Sports,b'',b'',b'',b''
Johnston Fernando,Male,2002 - 8 April 2004,United National Party,Minister of Sports,b'',"b""St. Anne's College, Kurunegala""",b'',b''
Jeewan Kumaranatunga,Male,8 April 2004 - 28 January 2007,Sri Lanka Freedom Party,Minister of Sports,b'',b'',b'',"b""He was born on 7 November 1958 in Seeduwa. His father Sydney Kumaranatunga was also a film actor. Sydney's brother, Vijaya was a renowned actor and politician. Jeewan completed his education from Carey College, Colombo."""
Gamini Lokuge,Male,28 January 2007 - 23 April 2010,United National Party (D),Minister of Sports,"b'Lokuge was born in Piliyandala to middle-class parents. He received his primary education in Piliyandala and completed his higher education at Ananda Sastralaya, Kotte.'",b'',"b'Lokuge entered politics in 1960 as a member of the United National Party (UNP). His first national campaign was in 1983, when he was elected by a clear majority to represent the Kesbewa Electoral District.'",b''
C. B. Rathnayake,Male,23 April 2010 - 22 November 2010,Sri Lanka Freedom Party,Minister of Sports,b'',b'',b'',b''
Mahindananda Aluthgamage,Male,22 November 2010 – 12 January 2015,Sri Lanka Freedom Party,Minister of Sports,b'',b'',b'',b''
Navin Dissanayake,Male,19 January 2015 - 4 September 2015,United National Party,Minister of Sports,b'',b'',b'',b''
Dayasiri Jayasekara,Male,4 September 2015 - 12 April 2018,Sri Lanka Freedom Party,Minister of Sports,b'',b'',b'',"b""Born in Paduwasnuwara, the ancient capital of the Paduwasnuwara Kingdom; (one of four Kingdoms in the Kurunegala District, the other three Kingdoms being Kurunegala, Yapahuwa and Dambadeniya) into a family of seven. His father J.P. Vinsant Jayasekara a businessman, and W.D.Siriyawathie a teacher. Dayasiri is married to Jayawanthi Panibharatha, and the couple has two children, Kaveen Jayasekara and Gihansi Jayasekara. Jayawanthi is the daughter of popular dancer Panibharatha. Jayawanthi's sister, Upuli is married to popular dancer and choreographer Channa Wijewardena."""
Faiszer Musthapha,Male,12 April 2018 - 15 December 2018,Sri Lanka Freedom Party,Minister of Sports,b'',"b'Musthapha received his primary and secondary education at Royal College, Colombo and graduated from the Ceylon Law College. He obtained his post-graduate degree, Master of Law (LLM) from the University of Aberdeen, U.K.'","b""He entered politics as member of the Ceylon Workers Congress (CWC) in 2004 and was elected as a Member of Parliament in the same year; representing the Kandy District. Following the Elections, the CWC announced its unconditional support to the United People's Freedom Alliance (UPFA), thereby allowing them to form Government.""",b''
Harin Fernando,Male,20 December 2018 - 15 November 2019,United National Party,Minister of Sports,"b""Born in Wattala to a Roman Catholic family, Fernando was educated at St. Joseph's College, Colombo.""",b'',"b'Fernando was appointed as United National Party (UNP) electoral organizer for Badulla District at age of 27 and won the highest number of votes in the Uva Province Council Election in 2005. He was elected as Member of Parliament for Badulla District in 2010 and resigned on 5 August 2014 to contest as candidate for Chief Minister of Uva Province. Even though Fernando won the highest number of preferential votes, the UNP lost in Uva Provincial Council election. Fernando became the leader of the opposition in the Uva Province Council.'",b'He is married to Ravindani Yashendra Dias and has two children.'
Dullas Alahapperuma,Male,22 November 2019 – 12 August 2020,Sri Lanka Podujana Peramuna,Minister of Sports,"b""Alahapperuma was born on 14 May 1959 in Dikwella, Matara to Carolis Alahapperuma and Aslin Alahapperuma, who were principals of local schools.\n Alahapperuma received his primary and secondary education at St. Servatius' College and Ananda College. Studied Political Science at the University of Iowa, for one and half years, but did not complete the degree """,b'',b'',"b'He is married to popular singer Pradeepa Dharmadasa, daughter of P.K and Hema Dharmadasa of Galle, and has two children Mahima Induwara and Kaushika Nalanda.'"
